participant,observacions,identificacions,espècies
xasalva,627,4,312
nereavieitez,118,2,25
loreto_rodriguez,84,5,50
manelsalvador,70,2,36
vicent,63,4,37
eiriku,60,2,23
jaume-piera,54,1,24
bertinhaco,53,2,40
romu_freediving_photography,46,4,36
alex_cerdan,44,6,20
nuriasireni,40,2,22
eloi_sanz,37,3,19
marina_xg,33,6,26
andrea,33,2,21
uri_domingo,32,4,15
maelg,28,4,19
marinagm,26,1,17
sonialinan,20,4,20
paula,18,5,11
mediambient_ajelprat,10,4,9
bernatgel,9,3,11
guillem,9,2,7
lausanchezvila,8,3,7
carla_alfonso,6,3,3
jordi,5,3,4
jaume,2,1,2
amaliacardenas,2,3,1
larabanchs,2,2,2
andres_valverde_valera,1,1,1
ngoncubells,1,2,1
pitubis,1,2,1
