project,city,observations,species,participants
79,Begues,0,0,0
80,Viladecans,90,25,8
81,Sant Climent de Llobregat,0,0,0
83,Cervelló,0,0,0
85,Sant Boi de Llobregat,0,0,0
86,Santa Coloma de Cervelló,0,0,0
87,Sant Vicenç dels Horts,0,0,0
88,la Palma de Cervelló,27,6,1
89,Corbera de Llobregat,0,0,0
91,Sant Andreu de la Barca,0,0,0
92,Castellbisbal,0,0,0
93,el Papiol,2,1,1
94,Molins de Rei,3,3,1
95,Sant Feliu de Llobregat,0,0,0
97,Cornellà de Llobregat,0,0,0
98,l'Hospitalet de Llobregat,0,0,0
99,Esplugues de Llobregat,0,0,0
100,Sant Just Desvern,0,0,0
101,Sant Cugat del Vallès,0,0,0
102,Barberà del Vallès,8,8,1
103,Ripollet,58,46,1
104,Montcada i Reixac,3,2,1
106,Sant Adrià de Besòs,0,0,0
107,Badalona,0,0,0
108,Tiana,0,0,0
109,Montgat,0,0,0
224,Barcelona,1042,274,27
225,el Prat de Llobregat,57,34,2
226,Pallejà,50,37,1
227,Torrelles de Llobregat,146,59,2
228,Castelldefels,0,0,0
229,Gavà,2,0,1
230,Sant Joan Despí,0,0,0
231,Santa Coloma de Gramenet,0,0,0
232,Àrea marina Barcelona,2115,390,32
