PARTICIPANT,OBSERVACIONS,ESPÈCIES,IDENTIFICACIONS
josepdegea,1897,243,0.0
jastals,1841,278,0.0
mpontes,1616,239,54.0
adriacompte,1609,153,166.0
ealcaniz,1350,169,206.0
manelor,1330,244,0.0
miquel17300,1276,178,0.0
martanp,1253,127,118.0
david_marco,1098,299,0.0
yespi,1033,178,796.0
virginia_canet,994,225,0.0
conxi,649,139,0.0
badosa,617,226,2520.0
mingokt,333,105,0.0
loreto_rodriguez,327,106,3439.0
pauperrim,289,143,7.0
seathevish,284,107,0.0
raulcalella,224,92,0.0
rickydiving,200,81,22.0
eloi_alcaide,197,103,35.0
xavibou,183,117,0.0
romu_freediving_photography,180,87,0.0
prema,175,93,0.0
nerea,162,89,0.0
asters,153,90,0.0
eloi_sanz,151,71,0.0
cocolotus,142,93,0.0
irenebernabeu,136,47,0.0
max,132,95,172.0
gregoribdn,128,101,0.0
jlarnau,126,37,0.0
elisenda_casabona,121,61,0.0
oscarcg31,112,70,2.0
sergio_zafra,110,62,2.0
bertamari,105,27,0.0
singuermorning,101,62,8.0
jordisanjuanr,98,40,14.0
saragasull,96,57,0.0
manuelmesa,96,57,0.0
estherip,87,29,0.0
eduardmarques,86,75,0.0
uriborrajo,83,57,105.0
ricard,82,43,0.0
uri11rodri,82,33,14.0
e-submarinismo,80,48,0.0
jordi2000,70,37,0.0
francesc_f,66,37,175.0
nuriasireni,66,22,0.0
anabel_salmeron,65,51,3.0
mar_avelles,64,48,0.0
carlos88,63,25,0.0
evararo,60,38,0.0
francismpp,56,44,9.0
alicate_cr,55,40,1.0
xparellada,53,24,0.0
jean-pierre,47,34,0.0
ariadnap,46,27,0.0
xavimarimon8,45,14,0.0
alexdesagarra,43,38,0.0
itziardiving,40,35,0.0
andreu,39,17,0.0
vazquez_diego,39,27,0.0
hughs,38,30,0.0
xevisan,38,24,0.0
eul_a_liarc,37,27,0.0
portu,36,17,0.0
lidiu0,36,26,0.0
patriciabesem,36,32,0.0
mariav,35,29,0.0
tonihillaalos,35,27,0.0
mjvergotti,34,26,0.0
mvilabel,34,29,0.0
jordimares,33,18,0.0
a_carulla,33,26,0.0
carladc,33,18,0.0
bieldpl,32,22,50.0
juancarlosdiez,31,19,0.0
pedrogono,31,24,0.0
psoler,30,20,0.0
labatalladealbert,29,23,0.0
ivanesence,22,12,0.0
aquamani,22,22,0.0
jordifors,22,19,0.0
maperez79,21,20,0.0
elena,21,17,0.0
borisweitzmann,20,16,0.0
anna_olive_abello,20,19,0.0
olivencia88,20,19,0.0
n1jol,18,18,0.0
alancardedeu,18,17,0.0
cescarrer,18,14,0.0
divers,17,16,0.0
wolfsms,16,13,0.0
jordidiver,16,16,0.0
nancy_unisub,16,14,0.0
jordigalbany,15,13,0.0
joanbb,15,13,0.0
estadesmarines24,15,15,0.0
adriana,15,15,0.0
nereavieitez,15,10,11.0
marmarih,13,11,0.0
roberto,13,12,0.0
ariana,13,9,0.0
joseplluis,12,12,0.0
michaschoerri,12,12,0.0
indi84,12,11,0.0
neuscdm,12,11,0.0
saradpl,12,11,0.0
yherla,12,12,0.0
xavidp,12,10,4.0
laiaalc,11,11,0.0
alexdot,11,11,0.0
xavi_ventura,11,10,0.0
miguel_angel_fuentes,11,10,0.0
jmestras,10,10,0.0
albertvim,10,10,26.0
rroviraf,10,10,0.0
virtu,10,9,0.0
nudibranqui,9,9,0.0
elultimocoral,9,8,0.0
suky,8,7,0.0
asarola,7,6,0.0
vile7,7,7,0.0
javiergg,7,6,0.0
peli,7,6,0.0
asalva1,6,6,0.0
tpines,5,5,0.0
jbonany,5,5,0.0
mjulia,5,5,0.0
rosadelsvents,5,5,0.0
alex_melich,5,5,3.0
said10,4,4,1.0
snorkeland,4,4,0.0
jeffreyabbot,4,4,10.0
jordialtimiras,4,3,0.0
centreimmersiocapdecreus,4,4,0.0
ggn,4,3,0.0
ordejon,4,4,0.0
proyectovelella,4,2,1.0
tonijims,4,4,0.0
jaume,4,4,0.0
angeleta,3,3,0.0
sargantano,3,3,7.0
anna7,3,3,0.0
albalopezpalli,3,1,0.0
kike,3,3,0.0
migui,3,3,0.0
hydronauta,3,3,0.0
mvinola,3,3,0.0
arisoler,3,2,0.0
divemike,3,2,0.0
nachogomez-belinchon,3,1,0.0
okeanoslife,3,3,0.0
lidiacaba,2,2,0.0
strombus,2,2,0.0
mercee8,2,2,0.0
chister,2,2,0.0
jordiporquet,2,2,0.0
grigri,2,2,0.0
merialorda,2,2,0.0
aritz,2,2,0.0
marionaclaramunt,2,1,0.0
cesarlorenzo,2,2,0.0
ineram,2,2,0.0
diri-llorens,1,1,0.0
merinus,1,1,0.0
insideh2o,1,1,0.0
panixirri,1,1,0.0
nurialaroca,1,1,0.0
amor,1,1,0.0
polinfp,1,1,0.0
sergimgz,1,1,1.0
andreagc93,1,1,0.0
sergiswim,1,1,0.0
waspasphyxia,1,1,0.0
climentjo,1,1,0.0
farners,1,1,0.0
rickysando,1,1,0.0
robert,1,1,0.0
albertolr88,1,1,0.0
manel419,1,1,0.0
shey,1,1,0.0
laia,1,1,0.0
andreurocamora,1,1,0.0
itziarburgues,1,1,0.0
gatpanxamunt,1,1,0.0
toni,1,1,0.0
juanatural,1,1,2.0
