PARTICIPANT,OBSERVACIONS,ESPÈCIES,IDENTIFICACIONS
eloi_sanz,2469,196,0.0
ealcaniz,1771,186,112.0
nuriasireni,1540,122,0.0
jastals,706,124,0.0
ngoncubells,426,68,0.0
mar_avelles,377,105,0.0
jalaball,356,98,0.0
badosa,354,120,1109.0
martinacm,335,56,0.0
josepdegea,309,82,0.0
virginia_canet,252,77,0.0
mpontes,237,101,10.0
jmturon,236,96,1.0
yespi,174,43,184.0
bertamari,156,48,0.0
rickydiving,149,61,26.0
gregoribdn,145,95,0.0
wolfsms,133,45,0.0
sos_loreina,119,27,0.0
nereavieitez,107,38,1.0
davidtsh,104,36,0.0
andreu,98,40,0.0
irenebernabeu,72,21,0.0
jaume,71,30,0.0
peixderoca24,60,44,16.0
saragasull,59,28,0.0
maria,54,24,0.0
uri11rodri,52,28,0.0
gusgonzalezh,44,21,0.0
david_marco,43,42,0.0
maror,42,19,0.0
mcomerma,40,34,20.0
conxi,40,23,0.0
eminguez,40,29,0.0
francesc_f,37,22,155.0
anna_olive_abello,35,22,0.0
mingokt,33,20,0.0
bieldpl,32,21,1.0
francesc_fg,32,15,0.0
clarab,32,14,1.0
davilo2011,30,21,0.0
max,29,20,38.0
pauperrim,27,24,1.0
nuriamkuin,27,24,0.0
thais,26,20,0.0
prema,26,16,0.0
xavi_ventura,25,20,0.0
lioba,24,16,0.0
danisantiago,22,18,0.0
congres-indians,21,9,0.0
albagarri,21,13,0.0
jordifors,21,19,0.0
eliavivesgadea,20,10,0.0
martanp,20,14,14.0
josjavier,19,16,0.0
denisemarrero3,18,11,0.0
julizansca,17,13,0.0
raquelnm,16,16,0.0
jordigs,15,14,5.0
xavilllabot,15,11,0.0
estherip,15,11,9.0
mariah_fecdas,15,15,0.0
andres_oa,14,13,0.0
ruthescodaguerra,13,8,0.0
manuel,13,11,0.0
aquamani,13,13,0.0
mathildelpef,13,12,0.0
arnau,13,12,0.0
monsblaus,12,10,0.0
jordi_noemi,12,12,0.0
pauladelmar,12,1,0.0
arnau225,11,9,2.0
alexdesagarra,11,9,0.0
pvives,11,11,0.0
srolivella,11,5,0.0
marcfotosub,11,10,0.0
strombus,10,6,0.0
marionaclaramunt,10,9,0.0
elisenda_casabona,10,8,0.0
angelarroyes,10,8,0.0
cmita,9,8,0.0
calypsobcn,9,9,0.0
alexiaaa,9,7,0.0
longibanda,9,9,0.0
jcoines,9,4,0.0
elsafc,8,7,0.0
ggn,8,7,0.0
lauraaa,8,8,0.0
mire,8,8,0.0
tonijims,8,7,0.0
francismpp,8,7,5.0
asalva1,8,8,0.0
iviflow,7,7,0.0
arturo,7,7,0.0
fflorens,7,5,0.0
sergio_zafra,7,6,1.0
nurialaroca,6,5,0.0
jarderiu,6,5,0.0
oli8,6,5,0.0
mayi,6,6,0.0
jordi2000,6,5,0.0
raulcalella,6,5,3.0
waspasphyxia,5,5,0.0
cecilius,5,4,0.0
iago,5,3,0.0
iollalle,5,3,0.0
alex_bdl,5,4,0.0
mochilo75,5,4,0.0
lauroneta,4,3,0.0
michellecabral,4,4,0.0
sergiov,4,2,0.0
eroci,4,4,0.0
silvilein,4,2,0.0
luabgra,4,3,0.0
iria_apr7,4,3,0.0
victorblanco,4,4,0.0
miriam,4,2,0.0
martoledo,4,3,0.0
saritaaaa,4,4,0.0
holapoma,4,3,0.0
juligmez,4,3,0.0
gzap,3,1,0.0
darkbard,3,3,0.0
nudibranqui,3,3,0.0
pablor,3,0,0.0
eulalia_busquets,3,2,0.0
emilymartin,3,2,0.0
leoalrom,3,3,0.0
supergava,3,3,0.0
domenica,3,3,0.0
encmontse,3,2,0.0
maviedro,3,3,0.0
pauruizmartinez,3,3,0.0
miro,3,3,0.0
danieelaa,3,3,0.0
ramonservitje,3,3,0.0
jveguzki,2,1,0.0
joanpuigbomoll,2,2,0.0
biel_tapia,2,1,0.0
merialorda,2,1,0.0
ponto,2,2,0.0
vmitjans,2,2,0.0
darube,2,2,0.0
tony,2,2,0.0
ainoaa,2,2,0.0
joanet2011,2,2,0.0
bernatgel,2,1,0.0
raquelmc,1,1,0.0
juanjogp,1,1,0.0
padi,1,1,0.0
olgaannu,1,1,0.0
marcel_calero,1,1,0.0
mbresoli,1,1,0.0
momo,1,1,0.0
saradpl,1,1,0.0
tonicases,1,1,0.0
marki,1,0,0.0
sergito,1,0,0.0
oldhippie,1,1,0.0
korsario,1,1,0.0
ericgomez,1,1,0.0
madesa,1,1,0.0
janbenedicto,1,1,0.0
asc,1,1,0.0
sgrossog,1,1,0.0
canboetjardi,1,1,0.0
labatalladealbert,1,1,0.0
marimuntanya,1,0,0.0
ivan_freeandivers,1,1,0.0
cem,1,1,0.0
loreto_rodriguez,1,1,973.0
