id,iconic_taxon,taxon_name,user_login,latitude,longitude,photos_id,photos_medium_url,license_photo,attribution,path
517750,aves,Psittacula krameri,meri,41.42454,2.1892971,674527,https://minka-sdg.org/attachments/local_photos/files/674527/medium.jpeg,cc-by,"(c) meri, some rights reserved (CC BY)",517750_674527.jpg
517749,aves,Streptopelia decaocto,meri,41.42454,2.1892971,674526,https://minka-sdg.org/attachments/local_photos/files/674526/medium.jpeg,cc-by,"(c) meri, some rights reserved (CC BY)",517749_674526.jpg
517748,aves,Passer domesticus,meri,41.42454,2.1892971,674525,https://minka-sdg.org/attachments/local_photos/files/674525/medium.jpeg,cc-by,"(c) meri, some rights reserved (CC BY)",517748_674525.jpg
496276,actinopterygii,Parablennius pilicornis,nereavieitez,41.3698292175,2.1913348526,644359,https://minka-sdg.org/attachments/local_photos/files/644359/medium.jpg,cc-by-nc,"(c) nereavieitez, some rights reserved (CC BY-NC)",496276_644359.jpg
496274,actinopterygii,Tripterygion delaisi,nereavieitez,41.3696563646,2.1912533141,644357,https://minka-sdg.org/attachments/local_photos/files/644357/medium.jpeg,cc-by-nc,"(c) nereavieitez, some rights reserved (CC BY-NC)",496274_644357.jpg
461396,plantae,Calystegia soldanella,alba_muto,41.2852407,2.0995741,622483,https://minka-sdg.org/attachments/local_photos/files/622483/medium.jpg,cc-by,"(c) Alba Muñoz Torres, some rights reserved (CC BY)",461396_622483.jpg
461203,elasmobranchii,Torpedo torpedo,jaume,41.3707296,2.1888042,622198,https://minka-sdg.org/attachments/local_photos/files/622198/medium.jpeg,cc-by-nc,"(c) jaume, some rights reserved (CC BY-NC)",461203_622198.jpg
458534,,Xantho,cescgv,41.4082067245,2.2266894579,618458,https://minka-sdg.org/attachments/local_photos/files/618458/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458534_618458.jpg
458533,porifera,Cliona celata,cescgv,41.4082067245,2.2266894579,618459,https://minka-sdg.org/attachments/local_photos/files/618459/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458533_618459.jpg
458532,annelida,Bonellia viridis,cescgv,41.4082067245,2.2266894579,618457,https://minka-sdg.org/attachments/local_photos/files/618457/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458532_618457.jpg
458531,actinopterygii,Symphodus roissali,cescgv,41.4082067245,2.2266894579,618454,https://minka-sdg.org/attachments/local_photos/files/618454/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458531_618454.jpg
458530,actinopterygii,Gobius paganellus,cescgv,41.4082067245,2.2266894579,618456,https://minka-sdg.org/attachments/local_photos/files/618456/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458530_618456.jpg
458529,actinopterygii,Parablennius zvonimiri,cescgv,41.4082067245,2.2266894579,618455,https://minka-sdg.org/attachments/local_photos/files/618455/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458529_618455.jpg
458528,actinopterygii,Dicentrarchus labrax,cescgv,41.4082067245,2.2266894579,618442,https://minka-sdg.org/attachments/local_photos/files/618442/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458528_618442.jpg
458528,actinopterygii,Dicentrarchus labrax,cescgv,41.4082067245,2.2266894579,618441,https://minka-sdg.org/attachments/local_photos/files/618441/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458528_618441.jpg
458527,actinopterygii,Parablennius pilicornis,cescgv,41.4082067245,2.2266894579,618440,https://minka-sdg.org/attachments/local_photos/files/618440/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458527_618440.jpg
458526,actinopterygii,Parablennius pilicornis,cescgv,41.4082067245,2.2266894579,618439,https://minka-sdg.org/attachments/local_photos/files/618439/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458526_618439.jpg
458525,porifera,Phorbas,cescgv,41.4082067245,2.2266894579,618438,https://minka-sdg.org/attachments/local_photos/files/618438/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458525_618438.jpg
458524,animalia,Lissoclinum weigelei,cescgv,41.4082067245,2.2266894579,618437,https://minka-sdg.org/attachments/local_photos/files/618437/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458524_618437.jpg
458523,annelida,Branchiomma luctuosum,cescgv,41.4082067245,2.2266894579,618435,https://minka-sdg.org/attachments/local_photos/files/618435/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458523_618435.jpg
458522,actinopterygii,Gobius niger,cescgv,41.4082067245,2.2266894579,618434,https://minka-sdg.org/attachments/local_photos/files/618434/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458522_618434.jpg
458521,actinopterygii,Gobius xanthocephalus,cescgv,41.4082067245,2.2266894579,618433,https://minka-sdg.org/attachments/local_photos/files/618433/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458521_618433.jpg
458520,actinopterygii,Ctenolabrus rupestris,cescgv,41.4082067245,2.2266894579,618432,https://minka-sdg.org/attachments/local_photos/files/618432/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458520_618432.jpg
458519,echinodermata,Ophioderma longicaudum,cescgv,41.4082067245,2.2266894579,618431,https://minka-sdg.org/attachments/local_photos/files/618431/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458519_618431.jpg
458518,actinopterygii,Tripterygion melanurus,cescgv,41.4082067245,2.2266894579,618429,https://minka-sdg.org/attachments/local_photos/files/618429/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458518_618429.jpg
458517,actinopterygii,Scorpaena porcus,cescgv,41.4082067245,2.2266894579,618430,https://minka-sdg.org/attachments/local_photos/files/618430/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458517_618430.jpg
458516,animalia,Phallusia mammillata,cescgv,41.4082067245,2.2266894579,618453,https://minka-sdg.org/attachments/local_photos/files/618453/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458516_618453.jpg
458515,actinopterygii,Gobius cruentatus,cescgv,41.4082067245,2.2266894579,618428,https://minka-sdg.org/attachments/local_photos/files/618428/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458515_618428.jpg
458514,actinopterygii,Tripterygion delaisi,cescgv,41.4082067245,2.2266894579,618427,https://minka-sdg.org/attachments/local_photos/files/618427/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458514_618427.jpg
454361,actinopterygii,Coris julis,laiachillaron,41.408649725,2.2265554399,612747,https://minka-sdg.org/attachments/local_photos/files/612747/medium.jpeg,cc-by,"(c) laiachillaron, some rights reserved (CC BY)",454361_612747.jpg
454360,actinopterygii,Gobius incognitus,laiachillaron,41.408649725,2.2265554399,612746,https://minka-sdg.org/attachments/local_photos/files/612746/medium.jpeg,cc-by,"(c) laiachillaron, some rights reserved (CC BY)",454360_612746.jpg
454359,echinodermata,Holothuria,laiachillaron,41.408761,2.226705,612745,https://minka-sdg.org/attachments/local_photos/files/612745/medium.jpeg,cc-by,"(c) laiachillaron, some rights reserved (CC BY)",454359_612745.jpg
454358,cnidaria,Actiniaria,laiachillaron,41.4084963619,2.2267806281,612744,https://minka-sdg.org/attachments/local_photos/files/612744/medium.jpeg,cc-by,"(c) laiachillaron, some rights reserved (CC BY)",454358_612744.jpg
454293,cnidaria,Actinia mediterranea,laiachillaron,41.408701321,2.2269360465,612621,https://minka-sdg.org/attachments/local_photos/files/612621/medium.jpeg,cc-by,"(c) laiachillaron, some rights reserved (CC BY)",454293_612621.jpg
