id,photos_id,iconic_taxon,taxon_name,photos_medium_url,user_login,latitude,longitude,license_photo,attribution,path
453624,611744,mollusca,Octopus vulgaris,https://minka-sdg.org/attachments/local_photos/files/611744/medium.jpg,mik_peixos,41.789454056,3.0538296796,cc-by,"(c) mik_peixos, some rights reserved (CC BY)",453624_611744.jpg
453624,611745,mollusca,Octopus vulgaris,https://minka-sdg.org/attachments/local_photos/files/611745/medium.jpg,mik_peixos,41.789454056,3.0538296796,cc-by,"(c) mik_peixos, some rights reserved (CC BY)",453624_611745.jpg
453624,611748,mollusca,Octopus vulgaris,https://minka-sdg.org/attachments/local_photos/files/611748/medium.jpg,mik_peixos,41.789454056,3.0538296796,cc-by,"(c) mik_peixos, some rights reserved (CC BY)",453624_611748.jpg
453622,611742,cnidaria,Actinia mediterranea,https://minka-sdg.org/attachments/local_photos/files/611742/medium.jpg,mik_peixos,41.7892195308,3.0536592102,cc-by,"(c) mik_peixos, some rights reserved (CC BY)",453622_611742.jpg
453617,611730,actinopterygii,Lipophrys trigloides,https://minka-sdg.org/attachments/local_photos/files/611730/medium.jpeg,manelor,42.3469714871,3.2145193446,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453617_611730.jpg
453616,611729,actinopterygii,Tripterygion tripteronotum,https://minka-sdg.org/attachments/local_photos/files/611729/medium.jpeg,manelor,42.3469080514,3.2134893764,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453616_611729.jpg
453615,611728,actinopterygii,Tripterygion tripteronotum,https://minka-sdg.org/attachments/local_photos/files/611728/medium.jpeg,manelor,42.3470349228,3.2141760219,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453615_611728.jpg
453614,611727,mollusca,Elysia timida,https://minka-sdg.org/attachments/local_photos/files/611727/medium.jpeg,manelor,42.3470349228,3.213317715,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453614_611727.jpg
453613,611725,,Dictyota dichotoma,https://minka-sdg.org/attachments/local_photos/files/611725/medium.jpeg,manelor,42.3468446157,3.2136610378,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453613_611725.jpg
453613,611726,,Dictyota dichotoma,https://minka-sdg.org/attachments/local_photos/files/611726/medium.jpeg,manelor,42.3468446157,3.2136610378,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453613_611726.jpg
453612,611724,actinopterygii,Parablennius incognitus,https://minka-sdg.org/attachments/local_photos/files/611724/medium.jpeg,manelor,42.3469080514,3.2134893764,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453612_611724.jpg
453611,611723,chromista,Cutleria adspersa,https://minka-sdg.org/attachments/local_photos/files/611723/medium.jpeg,manelor,42.3469080514,3.2135752071,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453611_611723.jpg
453610,611721,plantae,Ulva rigida,https://minka-sdg.org/attachments/local_photos/files/611721/medium.jpeg,manelor,42.3469080514,3.2135752071,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453610_611721.jpg
453610,611722,plantae,Ulva rigida,https://minka-sdg.org/attachments/local_photos/files/611722/medium.jpeg,manelor,42.3469080514,3.2135752071,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453610_611722.jpg
453609,611718,,Dictyota dichotoma,https://minka-sdg.org/attachments/local_photos/files/611718/medium.jpeg,manelor,42.3470983584,3.2134035457,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453609_611718.jpg
453609,611719,,Dictyota dichotoma,https://minka-sdg.org/attachments/local_photos/files/611719/medium.jpeg,manelor,42.3470983584,3.2134035457,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453609_611719.jpg
453609,611720,,Dictyota dichotoma,https://minka-sdg.org/attachments/local_photos/files/611720/medium.jpeg,manelor,42.3470983584,3.2134035457,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453609_611720.jpg
453608,611717,plantae,Codium vermilara,https://minka-sdg.org/attachments/local_photos/files/611717/medium.jpeg,manelor,42.3469714871,3.2140901912,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453608_611717.jpg
453607,611716,mollusca,Octopus vulgaris,https://minka-sdg.org/attachments/local_photos/files/611716/medium.jpeg,manelor,42.3469714871,3.2136610378,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453607_611716.jpg
453606,611715,porifera,Sarcotragus fasciculatus,https://minka-sdg.org/attachments/local_photos/files/611715/medium.jpeg,manelor,42.3469080514,3.2140901912,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453606_611715.jpg
453604,611713,actinopterygii,Lipophrys trigloides,https://minka-sdg.org/attachments/local_photos/files/611713/medium.jpeg,manelor,42.3469714871,3.213317715,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453604_611713.jpg
453603,611712,actinopterygii,Serranus cabrilla,https://minka-sdg.org/attachments/local_photos/files/611712/medium.jpeg,manelor,42.3469080514,3.2140901912,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453603_611712.jpg
453602,611711,mollusca,Octopus vulgaris,https://minka-sdg.org/attachments/local_photos/files/611711/medium.jpeg,manelor,42.3471617939,3.2143476833,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",453602_611711.jpg
453601,611698,cnidaria,Actinia striata,https://minka-sdg.org/attachments/local_photos/files/611698/medium.jpeg,guillermoalvarez_fecdas,41.8475151363,3.1378233433,cc-by-nc,"(c) Guillermo Alvarez Lerma, some rights reserved (CC BY-NC)",453601_611698.jpg
