PARTICIPANT,OBSERVACIONS,ESPÈCIES,IDENTIFICACIONS
evararo,1009,152,0.0
peixderoca24,960,200,3.0
urti,780,141,0.0
joangarcia,554,137,0.0
conxi,290,93,0.0
albertvim,205,100,25.0
juanvi,191,75,26.0
francesc_f,180,48,82.0
francesca,169,61,0.0
calypsobcn,142,49,0.0
ramonservitje,118,58,0.0
biosub,108,93,1.0
ealcaniz,106,47,63.0
cave_cavet,88,47,16.0
badosa,84,46,1391.0
paula_ell,77,40,0.0
jordi_balague,74,53,0.0
gnomumarta,73,40,0.0
joaquibote,72,38,0.0
ruizmfrn,68,30,0.0
elisenda_casabona,68,46,0.0
jorgesusicamara,64,26,0.0
portu,64,27,0.0
annacanela,61,32,0.0
toni,61,50,0.0
anacente,60,27,0.0
joselu_00,58,47,0.0
csr,55,36,0.0
ricard,53,27,7.0
iescandelera,47,16,0.0
sandrajoel,43,30,0.0
saragasull,42,29,1.0
crisvil,39,27,0.0
danimol,39,23,0.0
idoia,36,24,0.0
conchigago,36,22,0.0
ferranlozan0,34,23,0.0
maperez79,34,28,0.0
sosonacho,32,23,3.0
isaac_susi,30,17,0.0
auroramgonzalez,29,18,0.0
marbp2006,28,25,0.0
cescgv,28,22,10.0
hectorserranocereijo,27,21,0.0
anna_olive_abello,27,25,0.0
wolfsms,26,12,0.0
efarmengol,24,18,0.0
lendendiver,23,13,0.0
sandralba,23,16,0.0
javitubos,23,16,0.0
patopi,22,20,0.0
csalvadoresn,19,16,0.0
ferran_a_j,18,17,1.0
campus2024,16,11,0.0
pepe_molero,16,14,0.0
merins_moya,15,13,0.0
albaw,14,12,0.0
irenelopezmoreno,14,11,0.0
cris1954,13,7,0.0
lauratorres,12,11,0.0
eug,12,5,0.0
danigc89,12,10,0.0
davidtsh,12,7,0.0
albertorubio,11,9,0.0
rele,11,9,0.0
marticasas,10,10,0.0
packa,10,10,0.0
marianaharro,9,9,0.0
jhellbanger,9,9,0.0
jennifer,9,9,0.0
marcfotosub,9,9,0.0
bernatperalta,9,9,0.0
dani_rhincodontypus24,8,8,492.0
carme,8,6,0.0
associaciograellsia,8,8,0.0
mllarch,8,7,0.0
lbalaguero,6,5,0.0
mingokt,6,4,0.0
kanitodiving,5,5,0.0
carlauca,5,1,0.0
sandrita,5,5,0.0
andreijoanoaie,5,5,0.0
rosamarivs,5,5,0.0
inesmasip,5,3,0.0
mochilo75,5,5,0.0
yespi,5,4,6.0
maws,4,4,0.0
sgraci3,4,4,0.0
aito_lleixa,4,4,0.0
xavierlln,4,4,0.0
marti_argelich,3,3,0.0
vaneminka,3,3,0.0
aci,3,3,0.0
pajarito,3,3,0.0
aitormg,3,3,0.0
mik_peixos,3,1,0.0
jenymontagut,2,2,0.0
cid,2,2,0.0
acraftlopez,2,2,0.0
lauraa,2,2,0.0
emi,2,2,0.0
ericlarapla,2,2,0.0
martitm,2,2,0.0
raquelita_as,2,2,0.0
zina_bcn,1,1,0.0
markminka,1,0,0.0
rubenyjoel,1,1,0.0
sergims,1,1,0.0
lauraalmarza10,1,1,0.0
laia_st2012,1,1,0.0
naiaraaaaa,1,1,0.0
yagogo,1,1,0.0
jordisanromax,1,1,0.0
grup1primere,1,1,0.0
razvan,1,1,0.0
khadija,1,1,0.0
miquelbalaguer,1,1,0.0
lurdes_insbaixpenedes,1,0,0.0
escola_alberich,1,1,0.0
rroviraf,1,1,0.0
jginri,1,1,0.0
albagarri,1,1,0.0
natix,1,1,0.0
